Üretici,Kök_Neden_TR,Çözüm_TR
HONDA,"BAZI PRO-A MOTORLAR KÖŞE LAMBALARI, DÖNÜŞ SİNYALLERİ VE FARLAR YUKARIDA LİSTELENEN BAZI BİNEK ARAÇLARDA KULLANILMAK ÜZERE YEDEK LAMBA OLARAK SATILIR.  AMBER YAN REFLEKTÖRLERLE DONATILMAMIŞ BAZI KOMBİNE LAMBALAR FEDERAL MOTORLU TAŞIT GÜVENLİK STANDARDI NO. 108, LAMBALAR, YANSITICI CİHAZLAR VE İLGİLİ EKİPMAN.",PRO-A MOTORS SAHİPLERİNİ BİLDİRECEK VE LAMBALARI YENİDEN SATIN ALMA TEKLİFİ VERECEKTİR.  GERİ ÇAĞIRMA 3 NİSAN 2006'DA BAŞLADI. SAHİPLER PRO-A MOTORS'LA 323-838-2988 numaralı telefondan iletişime geçebilirler.
FORD,"Ford Motor Company (Ford), sürücü ve/veya yolcu manuel ön koltuk arkalığıyla donatılmış bazı 2018-2020 F-150 ve 2019-2020 F-250, F-350, F-450 ve F-550 Super Duty kamyonetlerini ve 2018-2019 Ford Explorer, 2019-2020 Expedition ve 2020 Escape araçlarını geri çağırıyor yatar mekanizmalar.  Ayrıca arka dış koltuklar ve manuel koltuk arkası yatırma mekanizmalarıyla donatılmış belirli 2020 Ford Explorer ve Lincoln Aviator araçları da dahildir.  Yatırma mekanizmalarında koltuk arkalığının sağlamlaştırılması için gereken üçüncü mandalın eksik olması koltuk arkalığının gevşek olmasına neden olabilir.  Dolayısıyla bu araçlar, Federal Motorlu Taşıt Güvenlik Standardı'nın (FMVSS) 202 numaralı ""Baş Kısıtlamaları"" ve 207 numaralı ""Oturma Sistemleri"" gerekliliklerine uymamaktadır.",Ford araç sahiplerini bilgilendirecek ve Ford ve Lincoln bayileri koltuk yapısını inceleyecek ve gerektiğinde ücretsiz olarak değiştirecek.  Geri çağırma 21 Ekim 2019'da başladı. Araç sahipleri 1-866-436-7332 numaralı telefondan Ford müşteri hizmetleriyle iletişime geçebilir.  Ford'un bu geri çağırma numarası 19C07'dir.
COLLINS,"Collins Bus Corporation (Collins), Promaster şasisi üzerine inşa edilmiş, CE Beyaz/HSM SB11-30"" serisi, standart, kemersiz okul otobüsü koltukları veya yalnızca kucak kemerli SB11-30"" serisi okul otobüsü koltuklarıyla donatılmış belirli 2011-2018 Collins SL, SH, DH, DE ve TH okul otobüslerini geri çağırıyor.  Alt koltuk arkalığının diz darbesi bölgesindeki köpük, çarpışma durumunda darbeyi yeterince absorbe edemeyebilir.  Dolayısıyla bu araçlar, Federal Motorlu Taşıt Güvenlik Standardı'nın (FMVSS) 222 numaralı ""Okul Otobüsü Yolcu Oturması ve Çarpma Koruması"" gerekliliklerine uymuyor.","Collins araç sahiplerini bilgilendirecek ve bayiler koltuk arkalıklarına ücretsiz olarak ilave köpük yerleştirecek.  Geri çağırma 21 Aralık 2018'de başladı. Araç sahipleri Collins müşteri hizmetleri 1-800-533-1850, dahili 424 ile iletişime geçebilir. Collins'in bu geri çağırma numarası 18e056'dır."
FORD,"Ford Motor Company (Ford), 360 derece kamerayla donatılmış bazı 2020-2023 Explorer, Lincoln Aviator ve 2020-2022 Lincoln Corsair araçlarını geri çağırıyor.  Video çıkışı başarısız olabilir ve arka görüş kamerası görüntüsünün görüntülenmesini engelleyebilir.","Bayiler 360 derece kamerayı ücretsiz değiştirecek.  Sahip bildirim mektupları 10 Kasım 2023'te postalandı. Araç sahipleri 1-866-436-7332 numaralı telefondan Ford müşteri hizmetleriyle iletişime geçebilir.  Ford'un bu geri çağırma numarası 23S23'tür.  Bu geri çağırma, NHTSA geri çağırma numarası 23V-022'yi genişleterek onun yerine geçer.  Daha önce 23V-022 kapsamında onarılan araçlara yeni çözümün uygulanması gerekecektir."
CHEVROLET,"RIDE CONTROL, GABRIEL RIDE CONTROL VEYA ARVINMERITOR OLARAK MARKALANAN BELİRLİ ÖN DİKME BAĞLANTILARINI GERİ ÇAĞIRIYOR, P/NOS. 142435, 142193, 142305, 142303, YUKARIDA LİSTELENEN ARAÇLAR İÇİN YEDEK EKİPMAN OLARAK SATILIR.  ETKİLENEN ÖN DİKME BAĞLANTILARINDA RULMAN YUVASI İLE DEĞER PLAKASI ARASINDA KAYNAKLI BİR BAĞLANTI İÇERMEMİŞTİR.","RIDE CONTROL, KAYIT SAHİPLERİNİ BİLDİRECEK VE ETKİLENEN PARÇALARI ÜCRETSİZ DEĞİŞTİRECEKTİR.  GÜVENLİK GERİ ÇAĞIRMASI 15 MART 2010'DA BAŞLADI. SAHİPLER 1-248-458-1396 TELEFONUNDA RIDE CONTROL İLE İLETİŞİME GEÇEBİLİR."
VOLVO,"ARAÇ TANIMI: EC-17 1030R ELEKTRONİK KONTROL ÜNİTESİNE (ECU) SAHİP BENDIX AIR ABS İLE ÜRETİLMİŞ AĞIR HİZMET KAMYONLARI, 1) DÖNER PARÇALARDA AŞINMIŞ ABS TEKERLEK HIZ SENSÖRÜ TELLERİ VEYA 2) A'DAN KAYNAKLANAN DÜŞÜK HIZLARDA İSTENMEYEN ABS ETKİNLEŞTİRME RAPORLARI MEVCUTTUR. TEKERLEK UÇUNDA BELİRLİ BİR TÜRDE DÜZENSİZ SENSÖR SİNYALİ ÜRETEN HASARLI PARÇA.",BAYİLER ABS ECU'SUNU DEĞİŞTİRECEKTİR.
AUDI,"Volkswagen Group of America, Inc. (Audi), belirli 2019-2021 Audi A5 Sportback, RS5 Coupe, RS5 Sportback, S5 Sportback, 2020-2021 A4 Allroad, A4 Sedan, A5 Cabriolet, A5 Coupe, A6 Allroad, A6 Sedan, A7, A8, Q5, S4 Sedan, S5 Coupe, S5 Cabriolet, S6'yı geri çağırıyor Sedan, S7, S8, SQ5, 2021 Q5 Sportback, Q7, Q8, RS6 Avant, RS7, RSQ8, SQ5 Sportback, SQ7 ve SQ8 araçları.  Recall 21V-295 (42L1) tamirleri yapıldıktan sonra arka aks hizalaması incelenmemiş olabilir.","Bayiler arka aksı inceleyecek, gerekirse hizalamayı ayarlayacak ve zamanından önce veya eşit olmayan şekilde aşınmış lastikleri ücretsiz olarak değiştirecektir.  Sahip bildirim mektupları 3 Mart 2022'de postalandı. Araç sahipleri 1-800-253-2834 numaralı telefondan Audi müşteri hizmetleriyle iletişime geçebilir.  Audi'nin bu geri çağırma numarası 42L5'tir."
MICRO BIRD,"Corp. Micro Bird, Inc. (Micro Bird), 2008-2025 G5, 2008-2024 MBII ve 2015-2024 T-Serisi okul otobüslerini geri çağırıyor.  Arka acil durum kapısının dış kolu uygulanan kuvvet altında beklenmedik bir şekilde kırılabilir.",Bayiler arka acil kapı dış kolunu ücretsiz olarak değiştirecektir.  Sahip bildirim mektupları 15 Ağustos 2024'te postalandı. Sahipler 1-819-477-2012 numaralı telefondan Micro Bird müşteri hizmetleriyle iletişime geçebilir.  Micro Bird'ün bu geri çağırmaya ilişkin numarası 24-109-EUS.
NEWMAR,"Newmar Corporation (Newmar), 1995-2018 model çeşitli karavanları geri çağırıyor.  Etkilenen araçların listesine şu adresten ulaşabilirsiniz: https://static.nhtsa.gov/odi/rcl/2017/RMISC-17V809-2309.pdf.  Bu karavanlar, tıkanabilen Kidde Plastik Saplı veya Basmalı Düğmeli 'Pindikatör' Yangın Söndürücülerle donatılmıştır, bu da söndürücünün beklendiği gibi boşalmasını engelleyebilir veya söndürücüyü etkinleştirmek için aşırı güç gerekebilir.  Ayrıca bazı modellerde nozül, yeterli kuvvetle valf düzeneğinden ayrılarak yaralanmaya neden olabilir ve ürünü çalışmaz hale getirebilir.  Etkilenen yangın söndürücü modellerinin tam listesi için şu adresi ziyaret edin: https://static.nhtsa.gov/odi/rcl/2017/RMISC-17E062-5427.pdf","Newmar, mülk sahiplerini bilgilendirecek ve onlara ücretsiz olarak yedek yangın söndürücü için Kidde ile iletişime geçmeleri talimatını verecek.  Geri çağırma 7 Şubat 2018'de başladı. Ürün sahipleri, 1-855-262-3540 numaralı telefondan ücretsiz olarak Kidde müşteri hizmetleriyle veya www.kidde.com adresinden çevrimiçi olarak iletişime geçebilir ve daha fazla bilgi için ""Ürün Güvenliği Geri Çağırma"" seçeneğine tıklayabilir veya ürün sahipleri 1-574-773-7791 numaralı telefondan Newmar müşteri hizmetleriyle iletişime geçebilir.  Newmar'ın bu geri çağırmaya ilişkin numarası 17E-062'dir."
MACK,"BOJİNİN ÖN AKSINA MONTAJI YAPILAN TİŞÖRT BRAKETİ, YOL YÜZEYİ DÜZENSİZLİKLERİNDEN KAYNAKLANAN TİTREŞİM NEDENİYLE BOZULABİLİR. BRAKET ARIZASI TİŞÖRT BRAKETİNİ DESTEKSİZ BIRAKIR VE HORTUM KONNEKTÖR BAĞLANTILARININ KIRILMASINA NEDEN OLUR. BU, YAYLI ACİL FRENLERİN OTOMATİK UYGULANMASINA NEDEN OLUR.","BAYİ, ARIZALI BRAKETİ YENİDEN TASARLANMIŞ BİR VERSİYONLA DEĞİŞTİRECEKTİR."
VOLVO BUS,"Volvo Bus Corporation (Volvo Bus), bazı 2023-2025 Volvo 9700 otobüslerini geri çağırıyor. Otomatik Yangın Söndürme Sisteminin (AFSS) elektrik konnektörleri içindeki metalik kalıntılar kısa devreye neden olabilir, bu da sürücüye yanlış uyarı verilmesine, motorun kapanmasına ve motor bölmesinde kimyasal yangın söndürme maddesinin salınmasına neden olabilir.","Prevost, gerekirse AFSS konnektörlerindeki metalik kalıntıları ücretsiz olarak inceleyecek ve temizleyecektir. Sahip bildirim mektupları 28 Ağustos 2025'te postalandı. Sahipler 1-866-870-2046 numaralı telefondan Prevost'un müşteri hizmetleriyle iletişime geçebilir. Bu geri çağırma için Prevost'un numarası SR25-85'tir."
MERCEDES-BENZ,"Mercedes-Benz USA, LLC (MBUSA), 2016 - 2021 CLA-Class, GLA-Class, GLE-Class, GLS-Class, SLC-Class, A-Class, GT-Class, C-Class, E-Class, S-Class, CLS-Class, SL-Class, B-Class, GLB-Class, GLC-Class ve G-Class araçlarını geri çağırıyor.  Belirli araç modeli ayrıntıları için lütfen Bölüm 573 raporuna bakın.  İletişim modülünün yazılım tasarımı, bir çarpışma durumunda acil çağrı sistemi (eCall) için doğru araç konumunu iletmede başarısız olabilir.",MBUSA sahipleri bilgilendirecek ve iletişim modülü yazılımı bir satıcı tarafından veya kablosuz (OTA) güncelleme yoluyla ücretsiz olarak güncellenecektir.  Geri çağırma 12 Mart 2021'de başladı. Araç sahipleri 1-877-762-8267 numaralı telefondan MBUSA müşteri hizmetleriyle iletişime geçebilir.  MBUSA'nın bu geri çağırmaya ilişkin numarası 2021020025'tir.
PRINX,"Prinx Chengshan Tire North America, Inc. (PCTNA), yedek lastik olarak satılan bazı Fortune Tormenta ve Prinx Hicountry'yi geri çağırıyor.  Belirli boyutlar için lütfen 573 Güvenlik Raporuna bakın.  Lastikler kar lastiği olarak etiketlenir ancak her türlü karlı hava koşulunda yeterli çekiş gücüne sahip değildir.  Dolayısıyla bu lastikler, Federal Motorlu Taşıt Güvenlik Standardı 139 numaralı ""Hafif Araçlar için Yeni Pnömatik Radyal Lastikler"" gerekliliklerine uymamaktadır.","Bayiler, ücretsiz olarak muayene edecek ve onaracak veya gerektiğinde müşterilere tamamen geri ödeme yapacaktır.  Sahip bildirim mektupları 27 Ocak 2025'te gönderildi. Sahipler, 1-855-544-4891 numaralı telefondan PCTNA müşteri hizmetleriyle iletişime geçebilir."
MOPAR,"Chrysler (FCA US, LLC), 68501449AA parça numaralı belirli Mopar Yüksek Basınçlı Yakıt Pompalarını ve 05162119BB, 05162111CB, 05158048AH ve 05158052AG parça numaralı belirli 3.0L Dizel Motorları geri çağırıyor.  Yüksek basınçlı yakıt pompası (HPFP) arızalanabilir.","Bayiler, yüksek basınçlı yakıt pompalarını ve sökülmüş motorları geri satın alacak.  Kurulu motorlar için FCA US, LLC, HPFP'yi ve ek yakıt sistemi bileşenlerini gerektiği şekilde ücretsiz olarak değiştirecektir.  Sahip bildirim mektupları 9 Kasım 2023'te gönderildi. Sahipler, 1-800-853-1403 numaralı telefondan FCA US, LLC müşteri hizmetleriyle iletişime geçebilir.  FCA US, LLC'nin bu geri çağırmaya ilişkin numarası 02A'dır."
NEW FLYER,"New Flyer of America, Inc. (New Flyer), belirli 2019-2024 XD35, XD40, XN35 ve XN40 transit otobüslerini geri çağırıyor.  Şanzıman çatalı ayrılabilir, bu da tahrik milinin ayrılmasına ve ani tahrik gücü kaybına yol açabilir.","New Flyer, gevşek şanzıman çatalı cıvatalarını ücretsiz olarak incelemek ve gerekirse sıkmak için ekipman üreticisi Allison Transmission Inc. ile birlikte çalışacak.  Sahip bildirim mektupları 9 Aralık 2023'te postalandı. Sahipler 1-800-241-2947 numaralı telefondan New Flyer müşteri hizmetleriyle iletişime geçebilir.  Bu geri çağırma için New Flyer'ın numarası R23-20'dir."
BMW,"ZF Grubu Kuzey Amerika Operasyonları (ZF), 1996-2004 BMW 5 Serisi (E39) araçlar için satış sonrası parça olarak satılan bazı Lemförder Direksiyon Merkezi Çubuklarını geri çağırıyor.  Direksiyon merkez çubukları, çubukların direksiyon mafsalından ayrılmasına izin verebilecek yetersiz bilyalı pim çekme kuvvetine sahip olabilir.","ZF, parça distribütörlerini bilgilendirerek son müşteriyi bilgilendirmeleri talimatını verdi.  ZF, etkilenen parçalar için onlara geri ödeme yapacaktır. Geri çağırma 28 Ağustos 2019'da başladı."
AUDI,"Volkswagen Group of America, Inc. (Audi), belirli 2019-2021 Audi A5 Sportback, RS5 Coupe, RS5 Sportback, S5 Sportback, 2020-2021 A4 Allroad, A4 Sedan, A5 Cabriolet, A5 Coupe, A6 Allroad, A6 Sedan, A7, A8, Q5, S4 Sedan, S5 Coupe, S5 Cabriolet, S6'yı geri çağırıyor Sedan, S7, S8, SQ5, 2021 Q5 Sportback, Q7, Q8, RS6 Avant, RS7, RSQ8, SQ5 Sportback, SQ7 ve SQ8 araçları.  Recall 21V-295 (42L1) tamirleri yapıldıktan sonra arka aks hizalaması incelenmemiş olabilir.","Bayiler arka aksı inceleyecek, gerekirse hizalamayı ayarlayacak ve zamanından önce veya eşit olmayan şekilde aşınmış lastikleri ücretsiz olarak değiştirecektir.  Sahip bildirim mektupları 3 Mart 2022'de postalandı. Araç sahipleri 1-800-253-2834 numaralı telefondan Audi müşteri hizmetleriyle iletişime geçebilir.  Audi'nin bu geri çağırma numarası 42L5'tir."
VOLKSWAGEN,"Volkswagen Group of America, Inc. (Volkswagen), 2015 Passat, 2015-2016 Eos, 2015-2017 CC, 2016-2017 TT Roadster, TT Coupe, 2017 Audi R8 Coupe ve R8 Spyder araçlarını geri çağırıyor.  Sürücü ön hava yastığının açılması üzerine aşırı iç basınç, şişiricinin patlamasına neden olabilir.","Volkswagen araç sahiplerini bilgilendirecek ve bayiler, sürücünün ön hava yastığı şişiricisini ücretsiz olarak alternatif bir şişiriciyle değiştirecek.  Geri çağırma 4 Mart 2019'da başladı. Volkswagen sahipleri 1-800-893-5298 numaralı telefondan Volkswagen müşteri hizmetleriyle iletişime geçebilir; Audi sahipleri 1-800-253-2834 numaralı telefondan Audi ile iletişime geçebilir.  Volkswagen'in bu geri çağırma numarası 69S8 (Audi) ve 69Y5'tir (Volkswagen)."
MERCEDES-BENZ,"Mercedes-Benz USA, LLC (MBUSA), 2017-2022 CLA-Class, GLA-Class, GLE-Class, GLS-Class, SLC-Class, A-Class, AMG GT-Class, C-Class, E-Class, S-Class, SL-Class, GLC-Class, CLS-Class, GLB-Class ve G-Class araçlarını geri çağırıyor.  Belirli araç modeli ayrıntıları için lütfen MBUSA'nın geri çağırma raporuna bakın.  İletişim modülünün SIM kart yazılımındaki bir hata, mobil ağ bağlantısı hatasına neden olarak acil çağrı (eCall) sistemini devre dışı bırakabilir.","İletişim modülü yazılımı, Over-the-Air (OTA) güncellemesi yoluyla veya bir bayi tarafından ücretsiz olarak güncellenecektir.  Sahip bildirim mektupları 8 Temmuz 2022'de postalandı. Sahip bildirim mektupları 8 Temmuz 2022, 17 Mayıs 2024, 29 Temmuz 2024 ve 27 Eylül 2024'te aşamalı olarak postalanacak. Sahipler 1-800-367-6372 numaralı telefondan MBUSA müşteri hizmetleriyle iletişime geçebilir.  MBUSA'nın bu geri çağırmaya ilişkin numaraları 2022060005 ve 2023110006'dır."
MERCEDES-BENZ,"Mercedes-Benz USA, LLC (MBUSA), 2016 - 2021 CLA-Class, GLA-Class, GLE-Class, GLS-Class, SLC-Class, A-Class, GT-Class, C-Class, E-Class, S-Class, CLS-Class, SL-Class, B-Class, GLB-Class, GLC-Class ve G-Class araçlarını geri çağırıyor.  Belirli araç modeli ayrıntıları için lütfen Bölüm 573 raporuna bakın.  İletişim modülünün yazılım tasarımı, bir çarpışma durumunda acil çağrı sistemi (eCall) için doğru araç konumunu iletmede başarısız olabilir.",MBUSA sahipleri bilgilendirecek ve iletişim modülü yazılımı bir satıcı tarafından veya kablosuz (OTA) güncelleme yoluyla ücretsiz olarak güncellenecektir.  Geri çağırma 12 Mart 2021'de başladı. Araç sahipleri 1-877-762-8267 numaralı telefondan MBUSA müşteri hizmetleriyle iletişime geçebilir.  MBUSA'nın bu geri çağırmaya ilişkin numarası 2021020025'tir.
KEYSTONE,"Keystone RV Company (Keystone), bazı 2025 Carbon, Fuzion ve Raptor oyuncak nakliye aracı eğlence amaçlı treylerlerini geri çağırıyor. Arka kapı pimleri ve/veya bacak destek braketi eksik olabilir ve bu da kapının çalışma sırasında kaymasına neden olabilir.",Bayiler kapı pimlerini ve/veya bacak destek braketlerini ücretsiz olarak kuracaktır. Sahip bildirim mektupları 4 Ağustos 2025'te gönderildi. Sahipler 1-866-425-4369 numaralı telefondan Keystone müşteri hizmetleriyle iletişime geçebilir. Keystone'un bu geri çağırmaya ilişkin numarası 25-470.
ACURA,"Honda (American Honda Motor Co.), belirli 2013-2023 Honda Accord, Civic Coupe, Civic Sedan, Civic Hatchback, Civic Type R, CR-V, HR-V, Ridgeline, Odyssey, Acura ILX, MDX, MDX Hybrid, RDX, RLX, TLX, 2019-2022 Honda Insight, Passport, 2020 Honda CR-V Hybrid, 2018-2019 Honda Clarity PHEV, Fit ve 2015-2020 Honda Accord Hybrid, Pilot, Acura NSX araçları.  Yakıt deposunun içindeki yakıt pompası arızalanabilir.","Bayiler yakıt pompası modülünü ücretsiz olarak değiştirecektir.  Sahip mektupları 6 Eylül 2024'te postalandı. Araç sahipleri 1-888-234-2138 numaralı telefondan Honda müşteri hizmetleriyle iletişime geçebilir.  Honda'nın bu geri çağırmaya ilişkin numaraları KGC ve KGD'dir.  Bu geri çağırma, NHTSA geri çağırma numaralarının 21V-215 ve 20V-314'ün genişletilmesidir."
BMW,"BMW of North America, LLC (BMW), belirli 2011-2012 BMW 550i, 550i xDrive, 550i Gran Turismo, 550i Gran Turismo xDrive, 750i, 750Li, 750i xDrive, 750Li xDrive, 760Li, X5 xDrive50i, X5 M, X6 xDrive50i, X6'yı geri çağırıyor M, ActiveHybrid7, MINI Cooper S Cabrio, John Cooper Works (JCW) Cabrio, Cooper S Countryman, Cooper S Countryman ALL4, Cooper S, JCW, Cooper S Clubman, JCW Clubman, Cooper S Roadster, JCW Roadster, Cooper S Coupe, JCW Coupe ve Rolls-Royce Ghost, 2011 BMW X6 Hybrid ve 2012 BMW 650i Coupe, 650i xDrive Coupe, 650i Cabrio ve 650i xDrive Cabrio araçları.  Elektrikli yardımcı su pompası arızalanabilir ve devre kartının aşırı ısınmasına neden olabilir.","BMW sahiplerini bilgilendirecek ve bayiler elektrikli yardımcı su pompasını ücretsiz olarak değiştirecek.  Modele bağlı olarak şu anda sınırlı sayıda parça mevcuttur, ancak tüm parçalar şu anda mevcut değildir.  Sahipler, 11 Haziran 2018'den itibaren geri çağırma konusunda bilgilendirilecek ve çözüm parçaları mevcut olduğunda ikinci bir bildirim alacaklar.  Araç sahipleri, BMW 1-800-525-7417 numaralı telefondan BMW müşteri hizmetlerine, 1-866-825-1525 numaralı telefondan MINI'ye veya 1-877-877-3735 numaralı telefondan Rolls-Royce'a başvurabilir.  Not: BMW, geri çağırma işlemi gerçekleştirilene kadar araç sahiplerinin araçlarını açık havada park etmelerini önerir."
COUNTRY COACH,"BAZI MOTORLU EVLER FMVSS NO. 120, ""BİNEK ARAÇ DIŞINDAKİ MOTORLU TAŞITLAR İÇİN LASTİK SEÇİMİ VE JANTLAR.""  BU OTOMOBİLLERE MATEMATİKSEL HESAPLAMALAR NEDENİYLE YANLIŞLIKLA YETERSİZ LASTİK ŞİŞİRME BASINÇLARI VE ÖN VE/VEYA ARKA AKS ÜZERİNDE YETERSİZ AKS AĞIRLIĞI DEĞERLENDİRİLMİŞTİR.  BU MOTORLU MOTORLAR, ÖN VEYA ARKA AKS AĞIRLIK DEĞERLERİNDEN DAHA AZ LASTİK AĞIRLIK DEĞERLENDİRMELERİNE (ÖN AKS AĞIRLIK DEĞERLERİ:FAWR VE ARKA AKS AĞIRLIK DEĞERLERİ:RAWR) VE BAZI DURUMLARDA YETERSİZ FAWR VE/VEYA RAWR'A SAHİPTİR.",BAYİLER ÖN VE/VEYA ARKA LASTİKLERİ ÇIKARARAK DEĞİŞTİRECEKTİR.  FEDERAL LASTİK ETİKETLERİ DE DEĞİŞTİRİLECEKTİR.  ARAÇ SAHİBİNİN BİLDİRİMİ 8 KASIM 2001'DE BAŞLADI. ARAÇLARINI ANLAŞILMIŞ BİR SERVİS TARİHİNDE YETKİLİ BİR BAYİYE GÖTÜREN VE MAKUL BİR SÜRE İÇİNDE ÜCRETSİZ ÇÖZÜM ALMAYAN SAHİPLERİN 1-800-452-8015 TELEFONUNDAN COUNTRY COACH'LA İLETİŞİME GEÇMESİ GEREKİR.
MITSUBISHI FUSO,"BAZI KAMYONLARDA, ROT UCU BİLYALI MAFSAL TOZ KÖRÜĞÜ YETERSİZ SIZDIRMAZLIK KABİLİYETİYLE TASARLANMIŞTIR.  BU DURUM, KİRLENMENİN rotbaşı bilyalı mafsala girmesine ve mafsalın içinde bulunan reçine yatağın anormal derecede aşınmasına neden olabilir.",BAYİLER DEĞİŞTİRİLMİŞ ROT UCU TERTİBATLARINI KURACAKTIR. GERİ ÇAĞIRMA 13 OCAK 2005'TE BAŞLADI. SAHİPLERİN 856-467-3917 no'lu telefondan MITSUBISHI FUSO İLE İLETİŞİME GEÇMESİ GEREKİR.
MERCEDES-BENZ,"Mercedes-Benz USA, LLC (MBUSA), 2016 - 2021 CLA-Class, GLA-Class, GLE-Class, GLS-Class, SLC-Class, A-Class, GT-Class, C-Class, E-Class, S-Class, CLS-Class, SL-Class, B-Class, GLB-Class, GLC-Class ve G-Class araçlarını geri çağırıyor.  Belirli araç modeli ayrıntıları için lütfen Bölüm 573 raporuna bakın.  İletişim modülünün yazılım tasarımı, bir çarpışma durumunda acil çağrı sistemi (eCall) için doğru araç konumunu iletmede başarısız olabilir.",MBUSA sahipleri bilgilendirecek ve iletişim modülü yazılımı bir satıcı tarafından veya kablosuz (OTA) güncelleme yoluyla ücretsiz olarak güncellenecektir.  Geri çağırma 12 Mart 2021'de başladı. Araç sahipleri 1-877-762-8267 numaralı telefondan MBUSA müşteri hizmetleriyle iletişime geçebilir.  MBUSA'nın bu geri çağırmaya ilişkin numarası 2021020025'tir.
IMT,"Iowa Mold Tooling Co., Inc. (IMT), 4 Nisan 2013 ile 22 Ocak 2016 tarihleri arasında üretilen, 6000, 7500, 8600, 9500, 10000, 12000 ve 14000 modellerindeki belirli Seri III vinçleri geri çağırıyor. Etkilenen vinçlerde, vinç kaldırılırken çatlayıp vinçten düşebilecek bir valf kümesi kapağı bulunmaktadır. Taşındı.","IMT sahiplerine bilgi verecek ve bayiler ücretsiz olarak valf kapağını daha kalın bir kapakla değiştirecek.  Geri çağırma işleminin Mart 2016'da başlaması bekleniyor. Araç sahipleri, 1-800-247-5958 numaralı telefondan IMT müşteri hizmetleriyle iletişime geçebilir.  IMT'nin bu geri çağırmaya ilişkin numarası TB2016001'dir."
FORETRAVEL,"Foretravel, Inc. (Foretravel), belirli 2012-2018 ih-45, Phenix ve Nimbus karavanlarını geri çağırıyor.  Bağımsız ön süspansiyon (IFS) modüllerindeki bilyeli mafsallar gevşeyip ayrılabilir ve bu durum direksiyon hakimiyetinin kısmen kaybolmasına neden olabilir.","Foretravel, sahipleri bilgilendirecek ve bayiler, ücretsiz olarak bilyeli mafsalın temizliğini denetleyecek ve emniyete alacak. Geri çağırma 26 Nisan 2017'de başladı. Araç sahipleri, 1-800-955-6226, seçenek 3 numaralı telefondan Foretravel müşteri hizmetleriyle iletişime geçebilir."
SPARTAN,"SPARTAN, 5 KASIM 2007'DEN 8 AĞUSTOS 2009'A KADAR ÜRETİLEN, CATERPILLAR C7 MOTORLARIYLA DONANIMLI, 2008 VE 2009 YILI BELİRLİ MODEL FURION TAMAMLANMAMIŞ ACİL DURUM/KURTARMA ARAÇLARINI HATIRLIYOR.  5. VE 6. YAKIT HATLARI ORTAK YAKIT RAYINA BAĞLANTI NOKTASINDA ÇATLAYARAK YAKIT SIZINTINA NEDEN OLABİLİR.","SPARTAN, SAHİPLERİNİ BİLDİRMEK İÇİN CATERPILLER İLE ÇALIŞIYOR VE ONARIMLAR YETKİLİ CATERPILLAR BAYİLERİ TARAFINDAN ÜCRETSİZ YAPILACAK.   SAHİPLER CATERPILLAR'A ÜCRETSİZ 1-800-447-4986 numaralı telefondan VEYA SPARTAN ŞASİ 1-800-543-5008 SEÇENEK 5 numaralı telefondan iletişime geçebilir."
JAYCO,"Jayco, Inc. (Jayco), 2018-2021 Jayco Eagle, Talon, 2020 Eagle HT, 2021 Jay Feather, Jay Flight Bungalow, Jay Flight Octane, North Point, Octane Super Lite, Pinnacle, White Hawk, 2021-2022 Jay Flights SLX, Jay Flight ve 2017-2021 Sismik eğlence araçlarını geri çağırıyor. Winntec model 6020 iki aşamalı propan regülatörleri.  Regülatör arızalanarak propan basıncının artmasına neden olabilir.",Bayiler ücretsiz olarak regülatörü değiştirecek ve propan sistemini sızıntılara karşı test edecek.  Sahip bildirim mektupları 1 Kasım 2021'de gönderildi. Sahipler 1-800-283-8267 numaralı telefondan Jayco müşteri hizmetleriyle iletişime geçebilir.
MERCEDES-BENZ,"Mercedes-Benz USA, LLC (MBUSA), 2021-2023 C-Class, E-Class, S-Class, CLS, SL, GT, GLC, GLE, GLS ve G-Class araçlarını geri çağırıyor.  Belirli araç ayrıntıları için lütfen MBUSA'nın geri çağırma raporuna bakın.  Yakıt pompası kapanabilir ve bu da tahrik gücü kaybına neden olabilir.",Bayiler yakıt pompasını ücretsiz olarak değiştirecektir.  Sahip bildirim mektupları 14 Haziran 2024'te postalandı. Sahipler 1-800-367-6372 numaralı telefondan MBUSA müşteri hizmetleriyle iletişime geçebilir.  MBUSA'nın bu geri çağırmaya ilişkin numarası 2023070012'dir.
